;ONB;NAME;CLASS;#CALLERS
0;1040987499;_TC_AL_UPDATE_PERM_LIST;ALERT;1
1;1125284799;_TC_AL_WARN_PROFILE_MODIF;ALERT;0
2;1125922099;_TC_AL_UPDATE_PERM_LIST_ON_CREATION;ALERT;0
3;1130296099;_TC_AL_UPDATE_MENU_ON_STATUS;ALERT;0
4;117709024599;_RB_AL_UNPUBLISH_ALL;ALERT;0
5;124652960399;_TC_AL_ICL_CLOSED_ACT;ALERT;0
6;1336369699;_TC_AL_SET_PORTAL_FOR_TC_ONLY;ALERT;0
7;1383099399;_GUI_AL_UPDATE_ADM_PAGES_RIGHTS;ALERT;0
8;1457727499;_TC_AL_RESET_HISTORY_ON_STATUS;ALERT;0
9;1552285499;_TC_AL_ONUNCHECK_TIMECARD_ONLY_ACCESS;ALERT;0
10;326809199;_TC_AL_ICL_CHANGE_LOAD;ALERT;0
11;504722199;_PE_AL_TEMPLATE_UPDATE;ALERT;1
12;504722299;_PE_AL_UPDATE_TEMPLATE_FROM_ACTION_ATTRIBUTE;ALERT;0
13;698968999;_PE_AL_TEMPLATE_UPDATE_START_OR_ACTION_CLASS;ALERT;0
14;99928499;_TC_MODIF_ON_TC_HAT;ALERT;0
15;101174099;RA_EQU_REPLACED;ATTRIBUTE-RELATION;5
16;127920182799;_DQA_RA_TEMPLATE_RULE;ATTRIBUTE-RELATION;0
17;1421732899;_GUI_RA_MODULE;ATTRIBUTE-RELATION;8
18;44063499;_PE_RA_EQUA_RES;ATTRIBUTE-RELATION;5
19;44063599;_PE_RA_EQUA_EQET;ATTRIBUTE-RELATION;21
20;44063699;_PE_RA_EQUA_COSTUNIT;ATTRIBUTE-RELATION;5
21;44063799;_PE_RA_EQUA_CBS;ATTRIBUTE-RELATION;5
22;44063899;_PE_RA_EQUA_STRTCL;ATTRIBUTE-RELATION;10
23;44063999;_PE_RA_EQUA_ACTCL;ATTRIBUTE-RELATION;10
24;44064099;_PE_RA_EQUA_ETAAET;ATTRIBUTE-RELATION;3
25;44064299;_PE_RA_EQUA_EQFA;ATTRIBUTE-RELATION;9
26;44064399;_PE_RA_EQUA_EQAA2;ATTRIBUTE-RELATION;7
27;44064499;_PE_RA_EQUA_EQAA;ATTRIBUTE-RELATION;10
28;4419448399;_IHM_RA_REPORT_VIEW_DASH;ATTRIBUTE-RELATION;9
29;44291999;_PE_RA_EQUA_EQFA2;ATTRIBUTE-RELATION;7
30;44296199;_PE_RA_EQUA_ETFT;ATTRIBUTE-RELATION;5
31;44696699;_PE_RA_EQUA_OBS;ATTRIBUTE-RELATION;4
32;44697199;_PE_RA_EQUA_CWP;ATTRIBUTE-RELATION;0
33;44697299;_PE_RA_EQUA_SBS;ATTRIBUTE-RELATION;0
34;4997975799;_TCCONV_RA_USER;ATTRIBUTE-RELATION;2
35;5055015899;_TCCONV_RA_RESOURCE;ATTRIBUTE-RELATION;0
36;82914599;_PE_RA_EQUA_WBS;ATTRIBUTE-RELATION;4
37;321196463441;Monthly Report - FranchiseSlide1;BOOKMARK;0
38;321236244941;Monthtly Report ViewSlide1;BOOKMARK;0
39;321217352541;Monthtly Report ViewSlide2;BOOKMARK;0
40;1248494799;;BRUSH;0
41;1248494899;;BRUSH;0
42;4963685599;;BRUSH;0
43;4963685699;;BRUSH;0
44;118064384853;;BUSER-VALUE;0
45;118064385453;;BUSER-VALUE;0
46;262021199374;;BUSER-VALUE;0
47;262021199474;;BUSER-VALUE;0
48;262021202674;;BUSER-VALUE;0
49;262021202774;;BUSER-VALUE;0
50;317316561674;;BUSER-VALUE;0
51;317316561774;;BUSER-VALUE;0
52;117722800099;_GUI_CSS_63_FOLDER_NO_TOOLBAR_NO_MENU;CELL-STYLE;0
53;117800594499;_GUI_CSS_GREY_STANDARD_BUTTON;CELL-STYLE;8
54;118057330253;SAN_CF_CONTINUUM_CONFIG_L1;COMMON-DATASET;1043
55;118064368153;SAN_CF_CONTINUUM_FORM_L1;COMMON-DATASET;24
56;143364256541;SAN_CF_CONTINUUM_HOT_START;COMMON-DATASET;67
